mirRNA	baseMean	log2FoldChange	lfcSE	stat	pvalue	fdr	bonferroni	homl	BY
hsa-miR-30a-3p	2,896184615535115	0,8141727857206774	0,657104161333667	1,2390315472484938	0,2153338152979472	1	1	1	1
hsa-miR-31-5p	409,24938391117325	-0,13446324894759826	0,08169415764507507	-1,6459347011298107	0,09977720363599776	1	1	1	1
hsa-miR-31-3p	0,7391948892600904	1,1640098837561075	1,2382062200231456	0,940077561340589	0,3471777776127151	1	1	1	1
hsa-miR-33a-3p	0,5064093262199063	-0,010193422004558292	2,1206274061897004	-0,004806795373296445	0,9961647469538142	1	1	1	1
hsa-miR-92a-1-5p	2,861469807476736	-1,4746118344831836	0,8107397827525924	-1,8188472625293388	0,06893473553776507	1	1	1	1
hsa-miR-92a-3p	906,1341063137197	0,024125702165663853	0,15818222090252293	0,15251841849237216	0,8787780645220892	1	1	1	1
hsa-miR-93-5p	93,47261076205245	0,14127349606792242	0,17100092010835946	0,8261563503775334	0,40871540549461827	1	1	1	1
hsa-miR-93-3p	19,5526606681121	-0,28665801697288396	0,33713544306344373	-0,8502755283399239	0,395171918755467	1	1	1	1
hsa-miR-96-5p	14,131924967464055	0,47666550849378464	0,4586393415679973	1,039303577543434	0,2986635715371135	1	1	1	1
hsa-miR-98-5p	2,992677255803905	0,7421481343364015	0,8243855260212997	0,9002440131599625	0,3679904083474935	1	1	1	1
hsa-miR-99a-5p	40,55474071816355	-0,235782801644096	0,3303633559354554	-0,7137074902767424	0,47540807377018823	1	1	1	1
hsa-miR-100-5p	283,7592714597383	0,08365646607928397	0,1453965194223236	0,575367735153911	0,5650426203610004	1	1	1	1
hsa-miR-100-3p	1,2976030832954655	0,6989352094462271	1,1149155914892082	0,6268951791342784	0,5307279475706514	1	1	1	1
hsa-miR-101-3p	3,006608712384455	0,4334843023972626	0,9462389885406618	0,4581129161310551	0,6468713199222076	1	1	1	1
hsa-miR-29b-1-5p	58,88592221248009	0,12818935125420963	0,22623846689848123	0,5666116510227739	0,5709780574273668	1	1	1	1
hsa-miR-29b-3p	11,703583041188198	0,2387181395837371	0,42414938475701214	0,5628161873215839	0,5735600564762777	1	1	1	1
hsa-miR-29b-2-5p	4,387165460952869	0,19999220154356262	0,554476254064995	0,3606866841949913	0,7183336800653605	1	1	1	1
hsa-miR-103a-2-5p	8,374434292587601	0,05117872915365106	0,42668684891368575	0,11994447282344993	0,9045271345370531	1	1	1	1
hsa-miR-103a-3p	532,5974009822579	-0,10930773594882821	0,11752811242440073	-0,930056083553114	0,352342047366007	1	1	1	1
hsa-miR-103a-1-5p	8,374434292587601	0,05117872915365106	0,42668684891368575	0,11994447282344993	0,9045271345370531	1	1	1	1
hsa-miR-106a-5p	409,46249445032925	-0,13303829719396834	0,11704560767730855	-1,1366363918648805	0,25569032017959686	1	1	1	1
hsa-miR-107	474,35817390495583	-0,10488917450102485	0,11555125684369544	-0,9077285471927576	0,3640216575454327	1	1	1	1
hsa-miR-16-2-3p	1,1364887996357662	0,26571686042690495	1,0518402778853866	0,2526209216489604	0,8005611611599932	1	1	1	1
hsa-miR-192-5p	145,7294494537972	0,3540551524862253	0,26313424499713095	1,345530500942915	0,17845397829770873	1	1	1	1
hsa-miR-192-3p	8,08818909567067	0,47526392117503696	0,4559514979543987	1,0423563105007492	0,2972465141845792	1	1	1	1
hsa-miR-196a-5p	32,46348864849105	0,3149163261945028	0,18855781629631993	1,6701313813457068	0,09489337253444319	1	1	1	1
hsa-miR-197-3p	2,3234820100279143	1,2765061607214419	0,710190656778044	1,7974133404016162	0,07227002444834671	1	1	1	1
hsa-miR-199a-5p	39,95685100125428	0,02116883544014128	0,22267850123206812	0,0950645676300822	0,9242635415128819	1	1	1	1
hsa-miR-199a-3p	192,9607729946727	-0,05187618228865647	0,1577946876404592	-0,32875747000341476	0,7423390117321271	1	1	1	1
hsa-miR-148a-3p	6,445815921676352	0,1327858084978361	0,4682466922349554	0,2835808788398387	0,7767315922687015	1	1	1	1
hsa-miR-30c-5p	435,25742618207255	0,14567452105267586	0,1763716121721317	0,8259521997820335	0,4088312077161131	1	1	1	1
hsa-miR-30d-5p	757,8096805038158	0,08433361630540519	0,08779623467869688	0,9605607417452053	0,3367730759206983	1	1	1	1
hsa-miR-139-5p	70,72028132222016	-0,1653368822402849	0,18892681095765124	-0,8751372100243934	0,381499252840783	1	1	1	1
hsa-miR-139-3p	0,2616590079766213	0,4706935434926458	3,0507615368668537	0,15428722887861313	0,8773832666232955	1	1	1	1
hsa-miR-7-5p	186,03415472115805	-0,04584704023707838	0,14216355346263834	-0,32249503561492876	0,7470776980432596	1	1	1	1
hsa-miR-10a-5p	187,086757619231	0,14942545322708425	0,13802944353487456	1,0825621650016315	0,2790028085474195	1	1	1	1
hsa-miR-10a-3p	0,5816441689398885	-0,5502450277288172	1,6882995627449784	-0,3259167033332538	0,7444873776887573	1	1	1	1
hsa-miR-10b-5p	12,47511591413734	0,28003837388134667	0,5179899691855001	0,5406250903307757	0,5887660204101961	1	1	1	1
hsa-miR-34a-5p	34,53232923703262	7,566483196663809e-4	0,2856791273680408	0,002648595039607461	0,9978867293808636	1	1	1	1
