mirRNA	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
hsa-let-7a-5p	138.21859941880268	0.13848970218211418	0.14726446529352769	0.9404149324555409	0.3470047656570233	1
hsa-let-7a-3p	0.41886971252216154	0.583970153052322	2.0519806646547343	0.2845885261548411	0.7759594027187877	1
hsa-let-7a-2-3p	0.9719081955821081	-0.5276240823646592	1.686293785958434	-0.31288977446167543	0.754364406609138	1
hsa-let-7b-5p	1987.6334132985867	0.05842116832772316	0.12814362314270877	0.45590382802476	0.6484591366877106	1
hsa-let-7b-3p	3.7775917473946645	0.10232033146209886	0.5753862976342858	0.17782893315810835	0.8588573241147135	1
hsa-let-7c-5p	185.63112601222787	-0.019858749123048244	0.20241591750049862	-0.09810863378864128	0.9218460318316312	1
hsa-let-7d-5p	64.57866976543113	-0.2466715746951387	0.2294816032159007	-1.074907841144309	0.28241599105162685	1
hsa-let-7d-3p	0.869474583578978	0.16019917229437544	1.354802844824908	0.11824537637066983	0.9058732369828848	1
hsa-let-7e-5p	41.615608982028604	-0.0409399679964674	0.20075340925761648	-0.20393162012970478	0.8384069349867602	1
hsa-let-7e-3p	0.8578696998993515	-0.3983440018367746	1.5708859480642394	-0.25357919989522043	0.7998206675740265	1
hsa-let-7f-5p	43.501206332890256	0.1280407422152612	0.20302342711090146	0.6306697903652223	0.5282564556764138	1
hsa-let-7f-1-3p	2.307789372964973	-0.6879950132519626	0.8932161295511768	-0.770244726321351	0.44115473727702387	1
hsa-miR-15a-5p	38.38080982646667	0.2153508197365484	0.23600846739562242	0.9124707351094931	0.3615209682224559	1
hsa-miR-16-5p	711.7542029249322	0.043557587432296145	0.11947407149178617	0.36457774384369857	0.7154266308192923	1
hsa-miR-17-5p	411.89910428285305	-0.1304494547587823	0.11725794428014283	-1.1124999296177616	0.26592326040052394	1
hsa-miR-17-3p	3.155992960422845	-0.41644934653772603	0.7042231755899808	-0.5913598997772759	0.5542793027315094	1
hsa-miR-18a-5p	44.92001444333998	0.029987724052109425	0.2177897115393851	0.13769118770647917	0.8904844842520891	1
hsa-miR-18a-3p	13.174382066240812	-0.04161485590875834	0.3058999994874436	-0.13604071911895024	0.8917890909721453	1
hsa-miR-19a-3p	5.696923059839199	0.0014826470990940517	0.4970525608552766	0.002982877900363024	0.9976200113058897	1
hsa-miR-19b-1-5p	0.5037410807201776	0.9644271625146131	2.0556425140973333	0.4691609343067654	0.6389546067445531	1
hsa-miR-19b-3p	16.06606118306607	0.6263416947787258	0.32041260251163933	1.9547973140537545	0.050606998334336344	1
hsa-miR-20a-5p	298.53532798120176	0.11929208792160456	0.13156517187111458	0.9067147956031014	0.3645576372162514	1
hsa-miR-20a-3p	1.391532839804509	-0.44835707359992255	0.9752021102166633	-0.45975810439982523	0.6456898581240167	1
hsa-miR-21-5p	1018.0473450348401	0.3683174054896965	0.229882204003239	1.6022006013327894	0.1091112571516148	1
hsa-miR-21-3p	10.411053890440169	0.2510165846567995	0.36970283275764637	0.6789685185381038	0.4971578093267695	1
hsa-miR-22-5p	1.4714836996167036	0.15647037770806835	0.9104204279326329	0.1718660663880078	0.8635428246798525	1
hsa-miR-22-3p	15.262757022232643	-0.07828105403844347	0.35025799130647683	-0.22349541190038774	0.8231499536036551	1
hsa-miR-23a-5p	2.154517174027036	0.4644463178884293	1.0788552685349067	0.4304991887550874	0.6668325566968867	1
hsa-miR-23a-3p	746.8193359682133	-0.169313798588582	0.12128477812399262	-1.3960020474744823	0.16271387858595757	1
hsa-miR-24-3p	523.5299010607218	0.036043566814162376	0.10591926801089126	0.34029282387465287	0.7336360207667791	1
hsa-miR-24-2-5p	2.170579350021747	0.23660546482475747	0.7517096290445173	0.3147564640425078	0.7529465693894405	1
hsa-miR-25-3p	24.914030657691693	0.48018068909880274	0.22827919084992038	2.1034798980625973	0.035423840677793535	1
hsa-miR-26a-5p	962.7717161205268	-0.15954895399168273	0.11172490303947528	-1.4280518456597808	0.1532769363090859	1
hsa-miR-26b-5p	75.54159297035011	0.05405445152563912	0.19298745334469583	0.28009308682410666	0.7794060884363352	1
hsa-miR-26b-3p	0.566489248953821	-1.6876498732960756	1.964249099440282	-0.8591832236435674	0.3902394375553537	1
hsa-miR-27a-5p	24.480625473314625	-0.1867772342938706	0.8561693539898421	-0.21815454316773714	0.827308701344756	1
hsa-miR-27a-3p	52.00678679740567	0.3249965740705122	0.18754511135931284	1.7328981369600172	0.08311377548462479	1
hsa-miR-28-5p	12.661862480838412	-0.5302537188341752	0.3617096799809141	-1.4659649663292242	0.14265783136730084	1
hsa-miR-28-3p	17.529867235110324	-0.20931146694104194	0.356955051622411	-0.5863804587992013	0.557619873094591	1
hsa-miR-29a-5p	9.781251001285202	0.1913544183890473	0.367243699522501	0.5210556876478776	0.6023279786724778	1
hsa-miR-29a-3p	30.470109610764172	0.18772531411497073	0.22749945696841103	0.8251681855268646	0.4092761128273042	1
hsa-miR-30a-5p	91.28265308001154	-0.04591029104316542	0.22166586860580723	-0.20711484060186366	0.8359201722589223	1
hsa-miR-30a-3p	2.896184615535115	0.22403767225913201	0.6345830822151999	0.35304702967665363	0.7240531831623875	1
hsa-miR-31-5p	409.24938391117325	0.09355380239509799	0.08343957283966791	1.121216219249647	0.2621958374471968	1
hsa-miR-31-3p	0.7391948892600904	1.7718092585470435	1.2615257908972177	1.4044970553371754	0.1601708879258966	1
hsa-miR-33a-3p	0.5064093262199063	-0.3181407240975218	2.1206274061897004	-0.15002198083875115	0.8807472733149789	1
hsa-miR-92a-1-5p	2.861469807476736	-1.6018859950636788	0.8166368694462198	-1.9615646255966308	0.04981319410009828	1
hsa-miR-92a-3p	906.1341063137197	0.2473034334367112	0.15856828787849944	1.559602091599827	0.11885394193807425	1
hsa-miR-93-5p	93.47261076205245	-0.060591164442739084	0.17166803673223682	-0.3529554225475739	0.7241218600564208	1
hsa-miR-93-3p	19.5526606681121	-0.5644082660561174	0.3374573097712585	-1.6725323462060875	0.0944193949931317	1
hsa-miR-96-5p	14.131924967464055	0.11434352633331227	0.4571046482620407	0.2501473716534238	0.8024733828945938	1
hsa-miR-98-5p	2.992677255803905	-0.552141492976852	0.7680481870338829	-0.7188891300025866	0.4722092344753426	1
