Sample	raw_total_sequences	filtered_sequences	sequences	is_sorted	1st_fragments	last_fragments	reads_mapped	reads_mapped_and_paired	reads_unmapped	reads_properly_paired	reads_paired	reads_duplicated	reads_MQ0	reads_QC_failed	non-primary_alignments	supplementary_alignments	total_length	total_first_fragment_length	total_last_fragment_length	bases_mapped	bases_mapped_(cigar)	bases_trimmed	bases_duplicated	mismatches	error_rate	average_length	average_first_fragment_length	average_last_fragment_length	maximum_length	maximum_first_fragment_length	maximum_last_fragment_length	average_quality	insert_size_average	insert_size_standard_deviation	inward_oriented_pairs	outward_oriented_pairs	pairs_with_other_orientation	pairs_on_different_chromosomes	percentage_of_properly_paired_reads_(%)	reads_mapped_percent	reads_mapped_and_paired_percent	reads_unmapped_percent	reads_properly_paired_percent	reads_paired_percent	reads_duplicated_percent	reads_MQ0_percent	reads_QC_failed_percent
GEMTX1_1_mature	6575629.0	0.0	6575629.0	1.0	6575629.0	0.0	54342.0	0.0	6521287.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	166387235.0	166387235.0	0.0	941205.0	941205.0	0.0	0.0	8266.0	0.008782359	25.0	25.0	0.0	40.0	40.0	0.0	36.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8264152372343391	0.0	99.17358476276567	0.0	0.0	0.0	0.0	0.0
GEMTX1_1_mature_hairpin	6525462.0	0.0	6525462.0	1.0	6525462.0	0.0	28412.0	0.0	6497050.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	165524880.0	165524880.0	0.0	568167.0	568167.0	0.0	0.0	35220.0	0.06198882	25.0	25.0	0.0	40.0	40.0	0.0	36.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.43540212171950426	0.0	99.5645978782805	0.0	0.0	0.0	0.0	0.0
GEMTX2_1_mature	8337721.0	0.0	8337721.0	1.0	8337721.0	0.0	53538.0	0.0	8284183.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	199634402.0	199634402.0	0.0	926825.0	926825.0	0.0	0.0	5339.0	0.005760527	23.0	24.0	0.0	40.0	40.0	0.0	36.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6421179120769333	0.0	99.35788208792306	0.0	0.0	0.0	0.0	0.0
GEMTX2_1_mature_hairpin	8287129.0	0.0	8287129.0	1.0	8287129.0	0.0	22457.0	0.0	8264672.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	198763516.0	198763516.0	0.0	470497.0	470497.0	0.0	0.0	23694.0	0.05035951	23.0	24.0	0.0	40.0	40.0	0.0	36.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.27098649001361025	0.0	99.72901350998639	0.0	0.0	0.0	0.0	0.0
GEMTX3_1_mature	7782749.0	0.0	7782749.0	1.0	7782749.0	0.0	52746.0	0.0	7730003.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	199126291.0	199126291.0	0.0	914500.0	914500.0	0.0	0.0	10336.0	0.01130235	25.0	26.0	0.0	40.0	40.0	0.0	36.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6777296813760794	0.0	99.32227031862392	0.0	0.0	0.0	0.0	0.0
GEMTX3_1_mature_hairpin	7734699.0	0.0	7734699.0	1.0	7734699.0	0.0	31488.0	0.0	7703211.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	198300937.0	198300937.0	0.0	641077.0	641077.0	0.0	0.0	38573.0	0.06016906	25.0	26.0	0.0	40.0	40.0	0.0	36.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.40710052194662005	0.0	99.59289947805338	0.0	0.0	0.0	0.0	0.0
GEMTX5_1_mature	7817815.0	0.0	7817815.0	1.0	7817815.0	0.0	48018.0	0.0	7769797.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	201332533.0	201332533.0	0.0	832217.0	832217.0	0.0	0.0	10364.0	0.01245348	25.0	26.0	0.0	40.0	40.0	0.0	36.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6142125389255182	0.0	99.38578746107449	0.0	0.0	0.0	0.0	0.0
GEMTX5_1_mature_hairpin	7774878.0	0.0	7774878.0	1.0	7774878.0	0.0	32393.0	0.0	7742485.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	200595296.0	200595296.0	0.0	645666.0	645666.0	0.0	0.0	41510.0	0.0642902	25.0	26.0	0.0	40.0	40.0	0.0	36.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.4166367626604559	0.0	99.58336323733954	0.0	0.0	0.0	0.0	0.0
GEMTX6_1_mature	9392935.0	0.0	9392935.0	1.0	9392935.0	0.0	30595.0	0.0	9362340.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	245040688.0	245040688.0	0.0	533152.0	533152.0	0.0	0.0	12401.0	0.02325978	26.0	26.0	0.0	40.0	40.0	0.0	36.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.32572353582772584	0.0	99.67427646417228	0.0	0.0	0.0	0.0	0.0
GEMTX6_1_mature_hairpin	9368314.0	0.0	9368314.0	1.0	9368314.0	0.0	46421.0	0.0	9321893.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	244618108.0	244618108.0	0.0	938958.0	938958.0	0.0	0.0	61130.0	0.06510408	26.0	26.0	0.0	40.0	40.0	0.0	36.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.4955107183640515	0.0	99.50448928163594	0.0	0.0	0.0	0.0	0.0
SIM1_1_mature	6655993.0	0.0	6655993.0	1.0	6655993.0	0.0	42686.0	0.0	6613307.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	171712410.0	171712410.0	0.0	738413.0	738413.0	0.0	0.0	9120.0	0.01235081	25.0	26.0	0.0	40.0	40.0	0.0	36.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6413167802309888	0.0	99.358683219769	0.0	0.0	0.0	0.0	0.0
SIM1_1_mature_hairpin	6617742.0	0.0	6617742.0	1.0	6617742.0	0.0	30500.0	0.0	6587242.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	171056265.0	171056265.0	0.0	597877.0	597877.0	0.0	0.0	38484.0	0.06436776	25.0	26.0	0.0	40.0	40.0	0.0	36.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.46088227676449156	0.0	99.5391177232355	0.0	0.0	0.0	0.0	0.0
SIM2_1_mature	9671347.0	0.0	9671347.0	1.0	9671347.0	0.0	54220.0	0.0	9617127.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	250647831.0	250647831.0	0.0	939451.0	939451.0	0.0	0.0	10846.0	0.01154504	25.0	26.0	0.0	40.0	40.0	0.0	36.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5606251125101809	0.0	99.43937488748982	0.0	0.0	0.0	0.0	0.0
SIM2_1_mature_hairpin	9622781.0	0.0	9622781.0	1.0	9622781.0	0.0	46724.0	0.0	9576057.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	249813496.0	249813496.0	0.0	932476.0	932476.0	0.0	0.0	55815.0	0.05985677	25.0	26.0	0.0	40.0	40.0	0.0	36.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.4855560985956139	0.0	99.51444390140438	0.0	0.0	0.0	0.0	0.0
SIM3_1_mature	6581458.0	0.0	6581458.0	1.0	6581458.0	0.0	89119.0	0.0	6492339.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	170526262.0	170526262.0	0.0	1541557.0	1541557.0	0.0	0.0	7522.0	0.004879482	25.0	26.0	0.0	40.0	40.0	0.0	36.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.35409205680565	0.0	98.64590794319436	0.0	0.0	0.0	0.0	0.0
SIM3_1_mature_hairpin	6497819.0	0.0	6497819.0	1.0	6497819.0	0.0	35713.0	0.0	6462106.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	169089446.0	169089446.0	0.0	720576.0	720576.0	0.0	0.0	41339.0	0.05736938	26.0	26.0	0.0	40.0	40.0	0.0	36.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5496151862648067	0.0	99.4503848137352	0.0	0.0	0.0	0.0	0.0
SIM4_1_mature	5180439.0	0.0	5180439.0	1.0	5180439.0	0.0	57844.0	0.0	5122595.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	136628950.0	136628950.0	0.0	1001081.0	1001081.0	0.0	0.0	5794.0	0.005787743	26.0	26.0	0.0	40.0	40.0	0.0	36.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.1165849071864373	0.0	98.88341509281356	0.0	0.0	0.0	0.0	0.0
SIM4_1_mature_hairpin	5126735.0	0.0	5126735.0	1.0	5126735.0	0.0	29282.0	0.0	5097453.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	135706747.0	135706747.0	0.0	596654.0	596654.0	0.0	0.0	33730.0	0.05653192	26.0	26.0	0.0	40.0	40.0	0.0	36.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5711627380779385	0.0	99.42883726192207	0.0	0.0	0.0	0.0	0.0
SIM5_1_mature	7331814.0	0.0	7331814.0	1.0	7331814.0	0.0	70319.0	0.0	7261495.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	189784479.0	189784479.0	0.0	1217303.0	1217303.0	0.0	0.0	8923.0	0.007330139	25.0	26.0	0.0	40.0	40.0	0.0	36.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9590941614176247	0.0	99.04090583858238	0.0	0.0	0.0	0.0	0.0
