Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50
VPA2_1	94393	10358	9427	4601	6308	9890	31843	77143	157920	246063	271703	278822	296605	312434	310532	280929	277690	335745	293738	331675	441250	847208	1674328	1035007	365871	198570	182430	240204	300195	326480	443056	601753	1117204	797724	461191	361524	201613	169296	144819	150425	123517	106448	299718	173138	160136	452081	119334	138055	479286	1860409	3841916
VPA3_1	99543	9985	9955	4578	6393	10429	37583	107697	238332	382612	364874	316245	298620	258728	252194	224753	217928	256901	226153	229363	363323	875039	1943496	1131818	384863	153189	135984	175748	239675	347915	713449	873924	1197058	873321	463759	332392	174759	145560	126873	139961	101546	86591	282299	144609	117194	581391	135215	132674	603721	2395424	5342897
VPA4_1	128165	11898	11344	5146	7364	10566	38501	105366	237494	387813	373242	347240	334004	303579	334192	281608	262319	317537	265568	273412	427958	1061473	2216354	1271668	410291	168582	150109	242271	368509	458576	803496	814608	842777	641227	343296	250638	136186	109140	113157	115213	101130	102634	297812	190152	188960	502614	139121	171254	493160	1944286	4111228
VPA5_1	93484	8119	8230	3564	5048	9015	38249	104914	222131	344783	350852	354319	367525	380767	431710	370981	356223	373724	408287	468071	586392	1031374	1961667	1167313	457742	267748	235497	265875	326479	344861	503500	582640	674094	471567	310072	249968	204680	197737	172985	173684	180963	152482	351177	237038	226876	599907	178778	268537	621091	2269387	4806371
VPA6_1	152378	14424	12882	5701	7885	13017	46452	108084	209406	319302	323940	307990	314055	298874	306503	275424	263194	279151	282229	312861	457797	1071196	2113448	1180210	401767	186825	169298	279168	420375	575724	889361	1155485	1510677	976151	494414	375517	182136	144751	133435	143527	110012	100924	269653	155723	135771	534397	128347	167005	532551	2121913	4378007
VPASM1_1	333635	37874	29783	13271	19089	21701	47882	89730	160278	249310	234083	209506	212866	194437	178157	168633	162576	201594	175463	170406	354432	1195666	2494795	1209068	359454	117245	94255	133822	179657	352778	442450	1099612	1355844	1164799	1163222	686481	275088	116057	77974	77716	61200	87862	245881	104087	88049	313997	65825	69596	426905	1940273	3395815
VPASM2_1	144907	13402	13860	6661	9035	16084	63964	198021	464366	781745	853707	833432	835728	772325	787585	715050	696109	721767	686132	723317	898611	1487591	2804852	1745669	681088	435884	376980	402103	459038	434320	460310	579665	958351	726285	607777	503433	319157	272124	241623	259766	244118	191688	378577	234700	205518	455110	153881	208236	424169	1546515	3225239
VPASM3_1	160629	14888	14537	6093	7827	14045	52058	141509	323124	525575	507267	443775	427326	383007	372348	333660	311738	341359	312063	337430	535684	1310470	2712972	1528276	471156	189978	170611	188610	221141	252430	365484	475397	865888	485086	322838	257402	159746	131972	111909	132211	106420	87853	280665	134304	107628	413184	124258	116493	383596	1594557	3324036
VPASM5_1	88346	7802	6656	3114	4605	9013	36856	102474	222460	368852	453111	511394	566154	588835	634561	596835	583972	606568	638853	704011	786381	1132544	1765701	1130630	565679	441695	395288	430543	509928	532794	663014	671651	723121	558287	453623	394534	343106	316509	257470	266515	307054	232126	332317	245060	232599	361477	171558	333787	423935	1405156	3009057
VPASM6_1	140707	12232	10704	4622	6554	10152	39096	122107	308625	537052	502497	422082	375039	309357	299617	259252	244733	277501	239422	249044	421542	1143440	2566426	1426781	431032	143737	119887	167398	250317	354550	725562	759667	652600	468517	284177	203761	115079	85490	81555	89612	76810	73085	266776	126067	104759	379048	92005	117279	415861	1730479	3779726
VSGTX1_1	234442	23486	18939	8122	9791	15701	45134	134501	342524	573138	543223	470377	431116	358490	333239	306358	321662	393794	277395	248911	374474	959638	2112268	1249171	391621	153170	139535	225166	331205	554379	1200763	1104557	1246859	984489	576153	336100	163501	129054	126331	138890	91566	93417	256728	146632	121997	369487	108719	108834	420434	1721389	3493020
VSGTX2_1	237028	20707	12826	5585	6899	11614	37318	94876	211511	340593	305805	265926	247894	205392	193889	185336	190732	266745	179401	181362	327402	1055837	1929413	971335	300038	133952	160376	702013	1188148	1222332	1767297	1415212	891343	705841	414452	317248	118418	73440	75347	80377	60363	82719	190459	99112	91926	250457	80291	84462	377797	1698039	2861350
VSGTX3_1	104474	9683	8914	3859	5285	10298	41519	112860	230616	362058	342612	306909	293683	266263	262464	240395	231978	258945	244230	257540	465973	1187653	2853826	1450864	461621	163858	132742	166912	238721	331606	1072812	1006457	697031	465719	272880	196230	121124	97135	87239	100535	82322	76100	285973	125715	100615	513131	99646	91388	444699	1851592	3957557
VSGTX4_1	235333	23516	21192	10022	12578	18830	56281	160044	370320	586308	545123	465656	419926	346055	326601	302168	299673	358656	274153	246242	394373	1007472	2235137	1277565	398498	148986	136107	255308	499696	738667	1645624	1415611	1297472	841312	414073	264085	134387	107499	105554	118534	82689	81833	242423	122768	100983	373118	88347	85170	329701	1321420	2725656
VSGTX5_1	142931	12682	12909	5655	7452	12330	41711	138293	368197	644147	625842	510894	448609	360564	336842	298195	297070	330252	256861	237273	390944	1000170	2273294	1302828	393613	146907	128699	155611	178193	250306	525939	805505	1193099	1016906	631917	380336	164941	126556	150001	165950	88515	86646	274291	140348	112184	489343	117308	102934	445910	1840778	3933024
VSGTX6_1	112866	12259	11908	5384	7470	13836	53610	175951	424847	724012	672076	536468	459726	347655	322702	276001	268530	278939	234520	214156	360321	962538	2351311	1226090	391719	129233	103873	144985	216753	406399	1069162	1610943	1667560	1351744	628120	345405	152908	118846	121933	152468	73144	65797	265345	126427	97965	542003	107469	91337	473951	2051986	4354373
