Sample	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	>10	>50	>100	>500	>1k	>5k	>10k+	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0
CTR1_1										4.363439836004236	2.22083778049183	6.13386310536045	2.879673866595984	8.862333322637571	5.366092390218751	61.97795198564242																																																																																																																																																																																																																																																																																																									
CTR2_1										7.156243322114849	5.343594614302703	15.996106148109945	6.145827100852073	13.348830076294208	6.101513121799205	37.62538778674422																																																																																																																																																																																																																																																																																																									
CTR3_1										4.0794031182144925	2.2468575741828456	6.6517753968449975	3.556983472013368	10.12911374434873	6.1519949649387975	56.86348318450296																																																																																																																																																																																																																																																																																																									
CTR4_1										6.608431064449148	4.2081057558350885	11.518850832354524	4.692517271681723	10.582236833464094	5.610883777390168	47.93800183828967																																																																																																																																																																																																																																																																																																									
CTR5_1										5.671668470329337	3.3659075102658904	9.460126819030142	3.9675684971985885	10.155285267409072	5.615891651202032	53.32904316441621																																																																																																																																																																																																																																																																																																									
CTR6_1										3.829074677298168	2.013622654013113	6.234237243361339	3.1543547538641836	9.765070096566781	5.659879620260903	58.20248207633432																																																																																																																																																																																																																																																																																																									
GEMTX1_1										7.861642525608651	4.748282321164145	12.2696116149202	4.984103379764828	11.748218579559412	5.642679730980744	42.48047028276411																																																																																																																																																																																																																																																																																																									
GEMTX2_1										3.771760548200772	2.0921805290018347	6.537660064738518	3.242363623699024	10.285977014504832	6.034674101471023	58.877723195462615																																																																																																																																																																																																																																																																																																									
GEMTX3_1										6.628530419216262	3.826088674801021	10.03000545688593	4.156301809755475	10.950232082047332	5.761136836407245	48.44896412422964																																																																																																																																																																																																																																																																																																									
GEMTX5_1										7.4031686431710195	5.002341624963422	14.244554172882143	5.806498120992305	12.985589999500252	6.095060392602279	38.96576919800716																																																																																																																																																																																																																																																																																																									
GEMTX6_1										8.993657528850925	6.795250421191319	19.357042501734696	7.212048328737579	14.289662159681004	5.689174034783891	27.958176435403587																																																																																																																																																																																																																																																																																																									
SIM1_1										7.532136016358451	4.877194160423151	13.050647298585366	5.41493276336048	12.494561631984313	5.848187310054975	42.03741859450156																																																																																																																																																																																																																																																																																																									
SIM2_1										6.7828564084832355	4.440277892247792	12.500411987771404	5.382708482382948	12.094881616781317	5.792606854000735	43.46070377928234																																																																																																																																																																																																																																																																																																									
SIM3_1										5.119955811402527	2.7262048927467744	7.658881424198912	3.753837294021557	10.450211670217891	6.175288293184609	55.2181441504682																																																																																																																																																																																																																																																																																																									
SIM4_1										5.809844621697792	3.091595399813439	8.605640282766686	4.226165698127736	11.31246360143154	7.468864643689859	48.36733761567784																																																																																																																																																																																																																																																																																																									
SIM5_1										7.053182414401789	4.357571165240303	11.623070248466892	4.797794375146732	12.282712231913592	6.0342154891353035	43.92862735170295																																																																																																																																																																																																																																																																																																									
SIM6_1										6.527609703502107	3.8164261453798267	10.227956965165678	4.3303536919886945	11.974011720690905	5.553051089076129	47.39736680693134																																																																																																																																																																																																																																																																																																									
VPA1_1										7.859116260569627	5.546814517962889	16.309220300608548	6.594744713214655	13.524896167054218	5.466800148424625	35.55514753856696																																																																																																																																																																																																																																																																																																									
